,reviewID,cust_travel_type,travel_custer_no,custCountry,countryRegion,star_rating,comment,Concept_bed,Concept_easy,Concept_bad,Concept_small,Concept_place,Concept_easy to access,Concept_expensive,Concept_wifi,Concept_like,Concept_night,Concept_helpful,Concept_pool,Concept_problem,Concept_singapore,Concept_comfortable,Concept_old,Concept_friendly,Concept_pleasant,Concept_would recommend,Concept_satisfied,Concept_hotel,Concept_quiet,Concept_service,Concept_location,Concept_excellent,Concept_large,Concept_check in,Concept_good,Concept_convenient,Concept_clean,Concept_price,Concept_time,Concept_relaxing,Concept_restaurants,Concept_stay,Concept_breakfast,Concept_room,Concept_fast,Concept_food,Concept_staff,Concept_family,Concept_bath room,Concept_shopping,Concept_experience,Concept_free,Concept_mrt,Concept_better,Concept_roomy,Concept_nearby,Concept_swimming pool
252,5364,Couples,1.0,United States of America,North America,8.0,"Very good to excellent. All staff encountered were very friendly & eager to assist. Location is very good, although a little off the beaten path. However public transport is very good, with the nearest MRT station 300 metres a level walk away.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
261,3768,Solo travelers,6.0,Malaysia,South East Asia,9.3,"A nice and clean hotel. more than i expected. i got free and safe parking. very convinience to the hotel. the room is tidy and clean, very comfortable.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
270,2390,Business Travelers,2.0,Malaysia,South East Asia,8.0,"Althought the room is small, however, it is still a comfortable stay. The plus point is the location where it is near shopping malls.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
279,1785,Business Travelers,2.0,Thailand,South East Asia,9.3,the hotel has got access to MRT where you can reach to Orchard road within 5 minutes. A room is nice with large window and you can enjoy city/mountain view from the room.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
288,2686,Couples,1.0,Singapore,South East Asia,8.3,"The overall stay I would say is good . I chose to stay here due to the budget for the room it provides is budget. After a day at the USS a nice room was the perfect choice to sooth the tiredness of the day spent . The bed was comfy not too soft or too hard . The bathroom was clean with a nice design . Room was large at its price compare to others . A small hiccup appeared , the staff who checks the mini bar item came which I did not expect .Ring the doorbell a while and open the door by herself as I am approaching the door , got a shock. Even request to come in which I rejected as I am not fully dress so were my girlfriend . This incident makes the stay not so good overall. Thus I did not give a high rating for its staff unprofessional behavior .The stay is overall good with all my requests being met when mentioned.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
297,5699,Solo travelers,6.0,Singapore,South East Asia,9.3,"The food at the Hotel was outstanding. Breakfast at the courtyard cafe was always a joy. The bed was comfortable and the room was clean. The staff were especially attentive. I would like to return, it is in an excellent location.",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
315,1165,Couples,1.0,Singapore,South East Asia,6.0,"Though it's centrally located, we were shocked at the long queue at the hotel reception upon our arrival. A long queue was snaking for check-in. There was only a single queue (perhaps to ensure first-come-first-serve service). When we entered the hotel room, the spacious room welcomed us. However, I must say that the bathroom facilities need to be maintained. The shower control got detached while I was trying to turn the shower on. Perhaps because of its location, this is a popular hotel amongst tourists and businessmen alike. This is the most crowded hotel swimming pool I have ever seen ! And so, if you are looking for a place to relax and enjoy some peace, this may not be the best place to go..",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
324,5389,Couples,1.0,Singapore,South East Asia,9.0,"it was a pleasant stay. thanks the management and people whom worked there, room is clean and checking in was quick.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
333,3590,Families with Young Children,4.0,Singapore,South East Asia,8.0,"First, I want to thank the customer relationship for helping us to check into rooms as early as they could. The room, bathroom and bath tub was so spacious. Nice view facing the Adventure Cove waterpark. All the staff there was very helpful and courteous, we felt so Comfortable and Enjoyed alot during the stay.",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
342,496,Couples,1.0,Australia,Oceania,4.7,"I was disspaointed with our room. The room was not their best, though I assume there are much better rooms in the hotel. I paid this price as I thought we would have difficulty securing a hotel room for 2 nights and friends had planned to stay there. I wont book this hotel again based on my experience this time. The bathroom blinds over the bath were mouldy as was the grout in the bathroom. There was an open drain in the bathroom, we covered it with a towel and in the morning bugs flew out of it when it was removed. The bugs were on our towels, and many other places. The shower rail was rusty, the tap was rusty also in the sink. Obviously we were not given a great room - I don't know if this is because of who I booked through. The staff did not pick up for the SkyView restaurant/bar at all. I rang the concierge, they put me through but the phone just rang. I rang the front desk, they said oh just go up there. We chose that for dinner as we were quite tired. We told them that we were there to eat. They let us order drinks and then after 20 minutes we sat down only to be told we'd have to wait 20 - 30 mins for our meals. I wish they had told us that to start with I would have ordered and then been happy to have my cocktail and wait. These are not huge issues, but I travel a lot and there are many more hotels out there doing things smarter and better. I will be unlikely to book here again. We stayed at the another hotel last time in Singapore and we're still talking about that experience. There is nothing from this stay I'd care to remember.",0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
351,1530,Couples,1.0,United States of America,North America,9.3,The brief weekend stay was a delight. Enjoying the full Hotel services and convenience of a relaxing Spa environment. A Highly recommended treat!,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,326,Families with Young Children,4.0,Australia,Oceania,7.0,"On arrival we unloaded all the bags, stroller and baby.. No bell boys to assist and so we struggled up to the level 5 lobby... Took ages to check-in as the staff were busy. We soon discovered that the staff are always busy and its best to use the phone for any service. The room they first gave us was very average, it was old and had a bad feel about it. They switched us to a new room, which had a better feel, better design and better bathroom with a separate shower and bath. Everything else was ok, except the breakfast. The buffet breakfast was way below standard for a hotel of this standard. Limited choices, poor quality and only refilled dishes on request.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0
369,2172,Couples,1.0,Singapore,South East Asia,9.0,A comfortable stay for a classy hotel. We were not disturbed by the renovations going on. We were delighted by the attentiveness of the staff.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
378,665,Couples,1.0,Singapore,South East Asia,8.0,the deal is good because the room stays come w free tickets to adventure cove. sea aquarium and universal studios. is a good Couples time together in sentosa. rooms are ok. not ery very lavish nor new but comfortable enough.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
387,887,Families with Young Children,4.0,Malaysia,South East Asia,8.7,Staff was helpful in resolving parking fee issue without a fuss (complemntary parking ticket did not work and was refunded promptly) and offered good advise on parking and shopping.,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
396,2687,Business Travelers,2.0,Australia,Oceania,9.3,Very happy with the facilities and central location close to the CBD. Room was good sized area and kept very clean.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
405,4378,Business Travelers,2.0,United States of America,North America,8.7,I was just passing through SIngapore. I've stayed here before an enjoyed the location so well that keep returning.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,1273,Business Travelers,2.0,Italy,Europe,7.3,"good location , the hotel is clean amd with a good price to be in the best shopping area of Singapore .",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,5341,Solo travelers,6.0,Singapore,South East Asia,7.3,"My stay was quite a good one with hotel staffs very good service orientated and helpful, easy accessibility with night shopping and entertainment just around the corner. I personally feel that though the room is quite spacious and clean but I find that the bath tub curtain smelly and unable to withstand the aroma of the bath tub curtain.",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
432,1005,Business Travelers,2.0,Indonesia,South East Asia,6.3,stay at grand park orchard is always a good experience the only thing the price now is more and more expensive and need to include breakfast as compliment not an additional.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
441,2747,Business Travelers,2.0,Vietnam,South East Asia,7.7,We stayed at the hotel for 5 nights. Everything is OK except the room is rather small for a five star hotel.,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
450,3045,Families with Young Children,4.0,Singapore,South East Asia,7.7,Relaxing stay with plenty of shopping along Orchard belt. Great Christmas lighting and festive atmosphere. Fantastic restaurants in the vicinity. The MRT is just a short walk away.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
459,4623,Couples,1.0,Singapore,South East Asia,9.3,"No major complaint. A nice hotel to stay in . However when I was there for a swim, there is no staff stationed at the counter. There is also no single towel at the counter and a guest had to call in requesting for towels. Male toilet at the swimming pool is in total darkness as the light sensors are not working. Swimming pool water was a bit too cold for comfortable. For a 5 star hotel, these type of issue should be avoided.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
468,696,Families with Young Children,4.0,Malaysia,South East Asia,8.3,"The stay was fun.we got a large double room with a very nice view of sentosa.the hotel's location was also superb as it was only 5mins walking distance to uss,s.e.a and the adventure cove waterpark.we also got complimentary admission tickets to all 3 places which was a plus to our stay.the people at the reception were helpful and the concierge were such nice people.they were ready to attend to all your needs. However there were also some downsides of the hotel.first,the buffet breakfast was the same everyday.there's not much variety considering what people had to pay for.the hotel also didnt offer free internet.it sucks that they charged an hour usage of internet for 5.35sgd.i think its a rip off.",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
477,3022,Business Travelers,2.0,Indonesia,South East Asia,7.7,"It was a pleasant stay. I was there on a business trip, the hotel is nearby my consultant's office. Many food/restaurant nearby, so it is easy to get dinner. There are convenience stores in the same building as the hotel (a 7-11 and Guardian). Recommended for business trip, as the ricing is also not expensive.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
486,4178,Couples,1.0,Australia,Oceania,7.7,Pretty good except the single mattress was a bit small and a bit hard and the place was a bit far from the MRT,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
495,2448,Couples,1.0,Philippines,South East Asia,7.3,Overall we had a good stay. The room is spacious and the bed is comfortable. My only feedback is the slow checkin and checkout. Its the slowest I encountered in numerous hotels I stayed in Singapore.,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
504,5087,Couples,1.0,India,South Asia,7.7,Good and peaceful. 10mins walking distance from mrt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
513,2783,Groups,5.0,Singapore,South East Asia,10.0,It was a good hotel to stay in. Very convenient as there are many shops nearby. Easily accessible by public transport. Nice swimming pool. Free wifi access. I would recommend this hotel to travelers who are looking for night life and for families as well.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
522,4581,Solo travelers,6.0,Philippines,South East Asia,9.3,"I had a great one-night stay at Hotel Michael. The location was very ideal and convenient for my itinerary which was to have fun at all the attractions in the area. Being a fan of Michael Graves, I was more than happy to experience a stay at this boutique hotel. What made it an even more satisfying was its living up to its five-star status: comfortable, high-end rooms & amenities paired with the attentive,friendly and helpful staff.",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
540,2777,Business Travelers,2.0,India,South Asia,9.7,"IT WAS GREAT, Rizza was excellent in checking me in and provided all the info I needed. The staff are superb and the management has got a team. I will recommend it to my friends and colleagues.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
549,27,Couples,1.0,Australia,Oceania,8.3,Very Enjoyable hotel but prefer the garden view to city view,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,5707,Business Travelers,2.0,Hong Kong,East Asia,10.0,Overall I will rate this hotel to be excellent for the business traveler. The front desk were very friendly people and this hotel is located at the heart of the city so we are accessible to every tourist spot in Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,1072,Couples,1.0,Singapore,South East Asia,7.3,The check in was smooth. The room was clean except that the pillow was too soft for comfort. Bathroom looks a bit outdated and the bathtub was kind of stuck. Water did not flow to the drain as fast as it could.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
576,1492,Business Travelers,2.0,Indonesia,South East Asia,6.3,"the room was very clean, as it is a quite new hotel, there is small shopping center, located next to the hotel, great local food around the hotel, the only disadvantage is that you can hear sound on on the room, maybe because the wall is to thin.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
585,691,Families with Young Children,4.0,Singapore,South East Asia,7.3,The stays was great. A good place for family holiday but it doesn't include breakfast.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
594,3722,Couples,1.0,Germany,Europe,9.7,"Our stay at Sentosa -Equarius Hotel was a very pleasant, comfortable and most enjoyable one. Our room was fantastic, a very comfortable bed and a big luxurious bathroom. The staff were very friendly and helpful,and we would have loved to stay there for a week instead of our 4 days we had.",1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
603,3193,Families with Young Children,4.0,Taiwan,East Asia,9.0,Beautiful，Graceful，Clean， Convenient， Comfortable.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,5300,Groups,5.0,Singapore,South East Asia,6.3,"Overall, a pleasant stay as the location is very close to shopping centres jsut a 5 minutes walk to Bugis Junction (cinema etc). The room was large (Deluxe room), room and toilet is clean. Except for the air-con is doesnt work quite well. :(",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
630,697,Families with Young Children,4.0,Malaysia,South East Asia,9.7,"Good location which is very near to Universal Studio Singapore, Adventure Cove Waterpark and Sea Aquarium. The 3 days 2 night package is totally worth it and value for money.",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
